0,2022-02-06 14:22:00
227,2022-02-06 14:22:03
0,2022-02-06 14:22:06
253,2022-02-06 14:23:27
204,2022-02-06 14:23:34
143,2022-02-06 14:25:43
0,2022-02-06 14:25:52
192,2022-02-06 14:26:25
223,2022-02-06 14:26:29
251,2022-02-06 14:26:34
238,2022-02-06 14:26:37
913,2022-02-06 14:27:28
1060,2022-02-06 14:29:31
224,2022-02-06 14:31:31
230,2022-02-06 14:32:09
233,2022-02-06 14:32:12
253,2022-02-06 14:32:26
226,2022-02-06 14:33:47
237,2022-02-06 14:33:53
2541,2022-02-06 16:28:39
2541,2022-02-06 16:28:36
